año,mes,fecha,INPC,mes
2021,2,2/1/2021,110.907,febrero
2021,3,3/1/2021,111.824,marzo
2021,4,4/1/2021,112.19,abril
2021,5,5/1/2021,112.419,mayo
2021,6,6/1/2021,113.018,junio
2003,1,1/1/2003,53.52544068,enero
2003,2,2/1/2003,53.67412245,febrero
2003,3,3/1/2003,54.01293041,marzo
2003,4,4/1/2003,54.1051442,abril
2003,5,5/1/2003,53.93055967,mayo
2003,6,6/1/2003,53.9751124,junio
2003,7,7/1/2003,54.0533387,julio
2003,8,8/1/2003,54.21548991,agosto
2003,9,9/1/2003,54.53823816,septiembre
2003,10,10/1/2003,54.73820739,octubre
2003,11,11/1/2003,55.19254161,noviembre
2003,12,12/1/2003,55.42981079,diciembre
2004,1,1/1/2004,55.77431735,enero
2004,2,2/1/2004,56.10794476,febrero
2004,3,3/1/2004,56.29807094,marzo
2004,4,4/1/2004,56.38303195,abril
2004,5,5/1/2004,56.24160294,mayo
2004,6,6/1/2004,56.33174451,junio
2004,7,7/1/2004,56.47939018,julio
2004,8,8/1/2004,56.82804118,agosto
2004,9,9/1/2004,57.29791705,septiembre
2004,10,10/1/2004,57.69474717,octubre
2004,11,11/1/2004,58.1868994,noviembre
2004,12,12/1/2004,58.30708815,diciembre
2005,1,1/1/2005,58.30916037,enero
2005,2,2/1/2005,58.50343099,febrero
2005,3,3/1/2005,58.76712098,marzo
2005,4,4/1/2005,58.97641519,abril
2005,5,5/1/2005,58.82825146,mayo
2005,6,6/1/2005,58.77178347,junio
2005,7,7/1/2005,59.00179988,julio
2005,8,8/1/2005,59.07225536,agosto
2005,9,9/1/2005,59.30900649,septiembre
2005,10,10/1/2005,59.45457994,octubre
2005,11,11/1/2005,59.88249335,noviembre
2005,12,12/1/2005,60.25031239,diciembre
2006,1,1/1/2006,60.60362589,enero
2006,2,2/1/2006,60.69635773,febrero
2006,3,3/1/2006,60.77251181,marzo
2006,4,4/1/2006,60.86161727,abril
2006,5,5/1/2006,60.59067451,mayo
2006,6,6/1/2006,60.64299806,junio
2006,7,7/1/2006,60.80929371,julio
2006,8,8/1/2006,61.11960865,agosto
2006,9,9/1/2006,61.73661213,septiembre
2006,10,10/1/2006,62.00651878,octubre
2006,11,11/1/2006,62.3318573,noviembre
2006,12,12/1/2006,62.69242357,diciembre
2007,1,1/1/2007,63.01620793,enero
2007,2,2/1/2007,63.19234663,febrero
2007,3,3/1/2007,63.32911314,marzo
2007,4,4/1/2007,63.29129513,abril
2007,5,5/1/2007,62.98253436,mayo
2007,6,6/1/2007,63.05817039,junio
2007,7,7/1/2007,63.32600481,julio
2007,8,8/1/2007,63.58399619,agosto
2007,9,9/1/2007,64.07770259,septiembre
