Número de serie,Escuela o facultad:,Edad:,Sexo:,Tiene tutor,"1.	¿Conoces las actividades de tutoría que se desarrollan en tu Escuela o Facultad?","2.	¿Consideras que en tu Escuela o Facultad es necesaria la tutoría?","3.	¿Consideras que en tu Escuela o Facultad la tutoría funciona?",Sugerencias
0,Escuela Nacional Preparatoria,16,Femenino,B,Sí,Sí,Sí,No la tengo 
3,Facultad e Contaduría y Administración,18,Masculino,B,No,Sí,No,Que muestren mayor atención 
5,FES Acatlán,21,Femenino,B,Sí,Sí,No,Que se interesen más en la tutoría 
6,Escuela Nacional Preparatoria,16,Femenino,B,Sí,Sí,Sí,"Creo que la tutoria es un espacio de confianza y reflexión, y no es culpa de los profesores, pero a distancia es realmente complicado, así que poco a poco"
7,Facultad e Contaduría y Administración,19,Femenino,B,No,Sí,Sí,Que la comunicación sea más rápida 
10,ENES Morelia,20,Femenino,B,Sí,Sí,Sí,No
15,Escuiela Nacional de Trabajo Social,22,Femenino,B,Sí,Sí,Sí,"Quizá preparar más cursos donde se les den orientaciones para el mejor manejo de las alumnas y alumnos, de acuerdo a su condición"
21,FES Iztacala,22,Femenino,B,Sí,Sí,Sí,"Todo bien
"
24,FES Acatlán,18,Masculino,B,Sí,Sí,Sí,Que el alumnado tenga conocimiento oportuno de quién es su tutor.
27,Facultad de Ciencias Políticas y Sociales,18,Femenino,B,No,Sí,Sí,No tengo 
28,Escuela Nacional de Enfermería y Obstetricia,22,Femenino,B,No,Sí,No,"Sería bueno que los profesores que imparten tutoria fueran diferentes a los que imparten las materias para evitar el conflicto de intereses.
"
29,Escuela Nacional Preparatoria,18,Femenino,B,Sí,Sí,Sí,Excelente 
31,Facultad de Ingeniería,23,Masculino,B,No,Sí,No,Ninguna 
32,FES Zaragoza,20,Femenino,B,Sí,Sí,Sí,En lo personal me parece bien que realicen los cursos ya que puede a ver estudiantes que necesiten ayuda o que estén pasando por situaciones difíciles que puedan interferir con escuela 
33,Escuela Nacional Preparatoria,15,Femenino,B,No,Sí,Sí,"Que den a conocer las tutorías, para mejorar el conocimiento "
39,Facultad de Arquitectura,19,Masculino,B,No,Sí,Sí,"Estaría bien que fuera obligatoria, y que se prepararan temas a tratar relacionados con la facultad, como información de becas, altas y bajas, como cambio de carrera, etc."
40,Facultad e Contaduría y Administración,18,Masculino,B,No,Sí,Sí,No gracias 
41,Facultad de Ciencias Políticas y Sociales,23,Masculino,B,Sí,Sí,Sí,He quedado muy satisfecho con el programa de tutoría.
47,Escuela Nacional Preparatoria,17,Femenino,B,Sí,Sí,Sí,Difundirlo más
48,Escuela Nacional Preparatoria,18,Femenino,B,No,Sí,Sí,Ninguna sugerencia
49,FES Cuautitlán,18,Masculino,B,No,Sí,Sí,"Todo en cuanto a tutorías, esta perfecto "
50,Facultad de Ingeniería,18,Femenino,B,Sí,Sí,Sí,.
53,Facultad de Ingeniería,23,Femenino,B,No,Sí,No,.
54,FES Aragón,20,Masculino,B,Sí,Sí,Sí,No
59,Escuela Nacional Preparatoria,17,Femenino,B,No,Sí,Sí,Creo que no tengo ninguna
61,FES Aragón,20,Femenino,B,No,Sí,Sí,"Darle más difusión al programa de tutorias y realizar las actividades, charlas, conferencias o propuestas que se tengan para que en realidad se lleve acabo q"
63,Facultad de Filosofía y Letras,21,Femenino,B,No,Sí,Sí,Llevar a cabo la responsabilidad de ser “tutor” y poner en práctica la comunicación. 
64,Facultad e Contaduría y Administración,19,Femenino,B,No,Sí,Sí,Pues que nos muestren más sobre cómo es la tutoría y sus actividades y solo que respeten los horarios 
