,año,clave_entidad,entidad,bien_jurídico_afectado,tipo_de_delito,subtipo_de_delito,modalidad,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,totales,población,tasa
0,2015,1,Aguascalientes,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,41,33,31,22,36,43,30,40,40,34,43,26,419,1331825,31.46058979220243
1,2015,1,Aguascalientes,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,201,180,182,160,121,166,160,151,178,133,121,107,1860,1331825,139.65798809903703
2,2015,1,Aguascalientes,El patrimonio,Despojo,Despojo,Despojo,19,15,13,14,13,19,12,15,19,22,10,8,179,1331825,13.44020423103636
3,2015,1,Aguascalientes,El patrimonio,Extorsión,Extorsión,Extorsión,2,4,1,5,7,2,1,3,2,6,4,2,39,1331825,2.928312653689486
4,2015,1,Aguascalientes,El patrimonio,Fraude,Fraude,Fraude,119,60,104,116,81,110,101,77,80,97,75,67,1087,1331825,81.61732960411466
5,2015,1,Aguascalientes,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,0,0,0,0,0,0,0,0,0,0,1,0,1,1331825,0.07508493983819195
6,2015,1,Aguascalientes,El patrimonio,Robo,Otros robos,Con violencia,0,1,0,2,1,0,1,0,0,0,1,3,9,1331825,0.6757644585437276
7,2015,1,Aguascalientes,El patrimonio,Robo,Otros robos,Sin violencia,104,102,109,91,236,203,218,201,214,216,217,207,2118,1331825,159.02990257729056
8,2015,1,Aguascalientes,El patrimonio,Robo,Robo a casa habitación,Con violencia,5,3,0,7,6,8,5,3,4,2,4,7,54,1331825,4.054586751262366
9,2015,1,Aguascalientes,El patrimonio,Robo,Robo a casa habitación,Sin violencia,215,176,202,190,215,228,233,229,202,175,226,180,2471,1331825,185.5348863401723
10,2015,1,Aguascalientes,El patrimonio,Robo,Robo a institución bancaria,Con violencia,1,0,1,0,0,0,0,0,0,0,0,0,2,1331825,0.1501698796763839
11,2015,1,Aguascalientes,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0,0,1331825,0.0
12,2015,1,Aguascalientes,El patrimonio,Robo,Robo a negocio,Con violencia,10,11,16,14,12,6,13,21,10,4,14,15,146,1331825,10.962401216376024
13,2015,1,Aguascalientes,El patrimonio,Robo,Robo a negocio,Sin violencia,109,80,123,104,116,106,98,125,113,120,97,101,1292,1331825,97.009742270944
