,año,clave_entidad,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,entidad,población_mujeres,población_hombres,delitos_totales,población_total,tasa
0,2015,1,7,1.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,Aguascalientes,676756,655069,41.0,1331825,3.0784825333658703
1,2015,2,52,59.0,59.0,67.0,82.0,83.0,79.0,89.0,93.0,78.0,85.0,73.0,Baja California,1676450,1681344,899.0,3357794,26.773530478641632
2,2015,3,17,13.0,8.0,18.0,22.0,7.0,11.0,28.0,34.0,6.0,7.0,6.0,Baja California Sur,353175,366671,177.0,719846,24.588592560075348
3,2015,4,3,3.0,10.0,4.0,8.0,5.0,0.0,4.0,3.0,4.0,4.0,7.0,Campeche,463786,453046,55.0,916832,5.998918013332868
4,2015,5,62,25.0,42.0,26.0,25.0,15.0,24.0,26.0,17.0,15.0,17.0,30.0,Coahuila,1503013,1497543,324.0,3000556,10.797998770894461
5,2015,6,13,12.0,12.0,7.0,12.0,11.0,10.0,10.0,22.0,18.0,26.0,31.0,Colima,363397,358299,184.0,721696,25.495499490090012
6,2015,7,37,42.0,33.0,49.0,43.0,40.0,34.0,57.0,55.0,45.0,40.0,38.0,Chiapas,2706079,2601740,513.0,5307819,9.664986692274171
7,2015,8,116,107.0,103.0,78.0,110.0,108.0,122.0,111.0,75.0,74.0,71.0,76.0,Chihuahua,1820676,1795805,1151.0,3616481,31.826518651694837
8,2015,9,60,62.0,61.0,71.0,87.0,69.0,77.0,71.0,69.0,72.0,73.0,70.0,Ciudad de México,4727285,4331449,842.0,9058734,9.294897057359229
9,2015,10,17,20.0,31.0,28.0,21.0,19.0,22.0,15.0,13.0,14.0,14.0,22.0,Durango,902020,879555,236.0,1781575,13.2467058641932
10,2015,11,66,72.0,67.0,75.0,71.0,91.0,63.0,101.0,94.0,97.0,85.0,75.0,Guanajuato,3042095,2888523,957.0,5930618,16.136598243218497
11,2015,12,138,140.0,155.0,194.0,175.0,141.0,179.0,199.0,163.0,167.0,173.0,192.0,Guerrero,1844116,1732476,2016.0,3576592,56.3665075580329
12,2015,13,5,19.0,13.0,7.0,8.0,7.0,14.0,16.0,22.0,20.0,13.0,14.0,Hidalgo,1498359,1401136,158.0,2899495,5.449224778797687
13,2015,14,93,76.0,70.0,95.0,78.0,79.0,98.0,97.0,88.0,95.0,100.0,109.0,Jalisco,4038200,3925114,1078.0,7963314,13.537077653851147
14,2015,15,199,167.0,194.0,206.0,211.0,195.0,164.0,183.0,220.0,177.0,188.0,198.0,México,8418990,8034638,2302.0,16453628,13.990835334310463
15,2015,16,76,51.0,52.0,63.0,112.0,85.0,87.0,86.0,69.0,78.0,85.0,108.0,Michoacán,2389658,2255074,952.0,4644732,20.49633864774114
16,2015,17,29,37.0,59.0,33.0,32.0,43.0,41.0,44.0,51.0,33.0,42.0,51.0,Morelos,995289,935216,495.0,1930505,25.640959230874824
17,2015,18,5,5.0,7.0,8.0,4.0,11.0,10.0,15.0,8.0,6.0,8.0,4.0,Nayarit,598262,597220,91.0,1195482,7.611992485039507
18,2015,19,34,31.0,33.0,32.0,41.0,55.0,33.0,36.0,49.0,50.0,25.0,31.0,Nuevo León,2602654,2602771,450.0,5205425,8.644827271548433
19,2015,20,0,54.0,0.0,0.0,59.0,0.0,0.0,42.0,0.0,0.0,70.0,0.0,Oaxaca,2089491,1929733,225.0,4019224,5.598095552773371
20,2015,21,46,41.0,39.0,44.0,41.0,43.0,46.0,57.0,51.0,54.0,61.0,33.0,Puebla,3253656,3020826,556.0,6274482,8.861289266588063
21,2015,22,9,10.0,12.0,11.0,13.0,10.0,12.0,13.0,12.0,23.0,13.0,8.0,Querétaro,1051031,1018525,146.0,2069556,7.0546532686238015
22,2015,23,15,12.0,11.0,20.0,11.0,23.0,21.0,29.0,24.0,27.0,27.0,12.0,Quintana Roo,755844,769029,232.0,1524873,15.214381787860367
23,2015,24,19,13.0,15.0,14.0,28.0,25.0,23.0,23.0,17.0,27.0,24.0,29.0,San Luis Potosí,1411226,1347013,257.0,2758239,9.317539198017286
24,2015,25,67,76.0,62.0,81.0,114.0,82.0,78.0,91.0,70.0,74.0,99.0,86.0,Sinaloa,1515836,1499954,980.0,3015790,32.49563132711495
25,2015,26,36,43.0,52.0,32.0,57.0,62.0,67.0,69.0,48.0,56.0,41.0,26.0,Sonora,1448176,1436578,589.0,2884754,20.417685528818055
26,2015,27,24,13.0,18.0,19.0,16.0,22.0,31.0,26.0,18.0,21.0,17.0,19.0,Tabasco,1230046,1196223,244.0,2426269,10.056593065319634
27,2015,28,49,125.0,80.0,84.0,58.0,60.0,74.0,55.0,40.0,38.0,59.0,40.0,Tamaulipas,1763051,1731668,762.0,3494719,21.804328187759875
28,2015,29,5,3.0,7.0,8.0,2.0,7.0,3.0,5.0,2.0,6.0,5.0,8.0,Tlaxcala,664306,630888,61.0,1295194,4.7097191617626395
29,2015,30,27,35.0,40.0,37.0,37.0,36.0,59.0,54.0,48.0,60.0,72.0,69.0,Veracruz,4236491,4004757,574.0,8241248,6.964964529644054
30,2015,31,1,1.0,8.0,3.0,8.0,4.0,7.0,1.0,4.0,2.0,4.0,9.0,Yucatán,1077863,1050939,52.0,2128802,2.44268842287822
31,2015,32,27,20.0,22.0,24.0,11.0,24.0,47.0,18.0,20.0,25.0,30.0,18.0,Zacatecas,814218,787483,286.0,1601701,17.856016822115986
32,2016,1,0,4.0,7.0,6.0,5.0,3.0,1.0,2.0,4.0,4.0,2.0,4.0,Aguascalientes,688078,667243,42.0,1355321,3.098896866498785
33,2016,2,100,80.0,91.0,80.0,106.0,82.0,110.0,83.0,137.0,105.0,127.0,143.0,Baja California,1701160,1702175,1244.0,3403335,36.55238170794236
34,2016,3,9,4.0,6.0,12.0,12.0,20.0,12.0,34.0,37.0,31.0,47.0,45.0,Baja California Sur,361857,375138,269.0,736995,36.49956919653457
35,2016,4,16,3.0,4.0,7.0,7.0,5.0,8.0,8.0,6.0,7.0,10.0,7.0,Campeche,472380,461056,88.0,933436,9.427534399787453
36,2016,5,18,16.0,22.0,23.0,38.0,17.0,17.0,15.0,19.0,15.0,15.0,18.0,Coahuila,1523960,1519102,233.0,3043062,7.656761511924502
37,2016,6,29,44.0,50.0,71.0,42.0,37.0,49.0,47.0,48.0,44.0,55.0,67.0,Colima,369839,364824,583.0,734663,79.35611293885768
38,2016,7,37,34.0,41.0,37.0,35.0,40.0,41.0,42.0,42.0,53.0,46.0,41.0,Chiapas,2751269,2642675,489.0,5393944,9.065722595562727
39,2016,8,90,81.0,84.0,109.0,122.0,109.0,128.0,136.0,143.0,209.0,128.0,131.0,Chihuahua,1838033,1811383,1470.0,3649416,40.280417469534854
40,2016,9,69,70.0,73.0,73.0,77.0,83.0,83.0,79.0,99.0,88.0,81.0,113.0,Ciudad de México,4725989,4328001,988.0,9053990,10.912316006534136
41,2016,10,7,15.0,27.0,11.0,20.0,28.0,23.0,21.0,19.0,20.0,19.0,26.0,Durango,912301,889662,236.0,1801963,13.096828292256832
42,2016,11,64,69.0,81.0,83.0,102.0,102.0,99.0,105.0,104.0,103.0,96.0,88.0,Guanajuato,3073125,2924362,1096.0,5997487,18.274320561261742
43,2016,12,166,160.0,188.0,178.0,165.0,195.0,215.0,217.0,170.0,178.0,212.0,169.0,Guerrero,1855504,1741807,2213.0,3597311,61.51817287968708
