,año,clave_entidad,entidad,sexo_victima,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,delitos_totales
0,2015,1,Aguascalientes,Hombre,7,1.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,34.0
1,2015,1,Aguascalientes,Mujer,0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0
2,2015,1,Aguascalientes,No identificado,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2015,2,Baja California,Hombre,45,50.0,51.0,56.0,78.0,73.0,65.0,79.0,80.0,70.0,72.0,66.0,785.0
4,2015,2,Baja California,Mujer,7,8.0,5.0,10.0,4.0,10.0,13.0,8.0,11.0,8.0,13.0,7.0,104.0
5,2015,2,Baja California,No identificado,0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,10.0
6,2015,3,Baja California Sur,Hombre,15,11.0,8.0,18.0,20.0,7.0,10.0,21.0,28.0,5.0,6.0,6.0,155.0
7,2015,3,Baja California Sur,Mujer,2,2.0,0.0,0.0,2.0,0.0,1.0,7.0,6.0,1.0,0.0,0.0,21.0
8,2015,3,Baja California Sur,No identificado,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9,2015,4,Campeche,Hombre,3,3.0,9.0,4.0,7.0,5.0,0.0,3.0,3.0,4.0,3.0,7.0,51.0
10,2015,4,Campeche,Mujer,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
11,2015,4,Campeche,No identificado,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2015,5,Coahuila de Zaragoza,Hombre,54,18.0,33.0,22.0,21.0,11.0,24.0,21.0,14.0,13.0,15.0,25.0,271.0
13,2015,5,Coahuila de Zaragoza,Mujer,8,7.0,9.0,4.0,4.0,4.0,0.0,5.0,3.0,2.0,2.0,5.0,53.0
14,2015,5,Coahuila de Zaragoza,No identificado,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2015,6,Colima,Hombre,10,8.0,10.0,7.0,12.0,11.0,8.0,10.0,21.0,18.0,25.0,29.0,169.0
16,2015,6,Colima,Mujer,3,4.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,15.0
17,2015,6,Colima,No identificado,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2015,7,Chiapas,Hombre,37,37.0,29.0,44.0,41.0,38.0,31.0,54.0,54.0,42.0,34.0,36.0,477.0
19,2015,7,Chiapas,Mujer,0,5.0,3.0,5.0,1.0,1.0,3.0,3.0,1.0,3.0,6.0,2.0,33.0
